score_type,score_time
ScoringDeck,0 days 00:00:00.617310
ScoringDeck,0 days 00:00:00.753581
ScoringDeck,0 days 00:00:00.558787
ScoringDeck,0 days 00:00:00.893303
ScoringDeck,0 days 00:00:01.082242
ScoringDeck,0 days 00:00:01.081969
ScoringDeck,0 days 00:00:01.073334
ScoringDeck,0 days 00:00:00.978461
ScoringDeck,0 days 00:00:00.993510
ScoringDeck,0 days 00:00:00.965231
ScoringDeck,0 days 00:00:01.019913
ScoringDeck,0 days 00:00:00.972354
ScoringDeck,0 days 00:00:00.960693
ScoringDeck,0 days 00:00:00.996537
ScoringDeck,0 days 00:00:00.953754
ScoringDeck,0 days 00:00:01.008966
ScoringDeck,0 days 00:00:00.956104
ScoringDeck,0 days 00:00:00.989994
ScoringDeck,0 days 00:00:00.921625
ScoringDeck,0 days 00:00:00.490851
ScoringDeck,0 days 00:00:00.501622
ScoringDeck,0 days 00:00:00.509738
ScoringDeck,0 days 00:00:00.540496
ScoringDeck,0 days 00:00:00.506295
ScoringDeck,0 days 00:00:00.500984
ScoringDeck,0 days 00:00:00.543139
ScoringDeck,0 days 00:00:00.642184
ScoringDeck,0 days 00:00:00.630710
ScoringDeck,0 days 00:00:00.633258
ScoringDeck,0 days 00:00:00.500341
ScoringDeck,0 days 00:00:00.502798
ScoringDeck,0 days 00:00:00.557790
ScoringDeck,0 days 00:00:00.596394
ScoringDeck,0 days 00:00:00.618542
ScoringDeck,0 days 00:00:01.117166
ScoringDeck,0 days 00:00:01.043923
ScoringDeck,0 days 00:00:00.999464
ScoringDeck,0 days 00:00:01.065030
ScoringDeck,0 days 00:00:01.021913
ScoringDeck,0 days 00:00:01.029300
ScoringDeck,0 days 00:00:01.047409
ScoringDeck,0 days 00:00:01.104270
ScoringDeck,0 days 00:00:01.129746
ScoringDeck,0 days 00:00:01.123796
ScoringDeck,0 days 00:00:01.127585
ScoringDeck,0 days 00:00:01.096473
ScoringDeck,0 days 00:00:01.032255
ScoringDeck,0 days 00:00:01.201457
ScoringDeck,0 days 00:00:01.175325
ScoringDeck,0 days 00:00:01.018032
ScoringDeck,0 days 00:00:01.018735
ScoringDeck,0 days 00:00:01.088178
ScoringDeck,0 days 00:00:01.167047
ScoringDeck,0 days 00:00:01.273336
ScoringDeck,0 days 00:00:01.491728
ScoringDeck,0 days 00:00:01.370837
ScoringDeck,0 days 00:00:01.192403
ScoringDeck,0 days 00:00:01.150528
ScoringDeck,0 days 00:00:01.120277
ScoringDeck,0 days 00:00:01.029944
ScoringDeck,0 days 00:00:01.107484
ScoringDeck,0 days 00:00:01.118942
ScoringDeck,0 days 00:00:01.068502
ScoringDeck,0 days 00:00:01.185963
ScoringDeck,0 days 00:00:01.140815
ScoringDeck,0 days 00:00:01.014794
ScoringDeck,0 days 00:00:01.061311
ScoringDeck,0 days 00:00:01.140029
ScoringDeck,0 days 00:00:01.124031
ScoringDeck,0 days 00:00:01.080926
ScoringDeck,0 days 00:00:01.134011
ScoringDeck,0 days 00:00:01.133455
ScoringDeck,0 days 00:00:01.176291
ScoringDeck,0 days 00:00:01.044284
ScoringDeck,0 days 00:00:01.078511
ScoringDeck,0 days 00:00:01.042667
ScoringDeck,0 days 00:00:01.078716
ScoringDeck,0 days 00:00:01.090207
ScoringDeck,0 days 00:00:01.184561
ScoringDeck,0 days 00:00:01.168780
ScoringDeck,0 days 00:00:01.130210
ScoringDeck,0 days 00:00:01.061829
ScoringDeck,0 days 00:00:01.141157
ScoringDeck,0 days 00:00:01.073200
ScoringDeck,0 days 00:00:01.097344
ScoringDeck,0 days 00:00:01.073013
ScoringDeck,0 days 00:00:01.093449
ScoringDeck,0 days 00:00:01.121367
ScoringDeck,0 days 00:00:01.083611
ScoringDeck,0 days 00:00:00.998255
ScoringDeck,0 days 00:00:01.154783
ScoringDeck,0 days 00:00:01.141504
ScoringDeck,0 days 00:00:00.620055
ScoringDeck,0 days 00:00:00.495144
ScoringDeck,0 days 00:00:00.538053
ScoringDeck,0 days 00:00:00.521796
ScoringDeck,0 days 00:00:00.490724
ScoringDeck,0 days 00:00:00.441600
ScoringDeck,0 days 00:00:00.445233
ScoringDeck,0 days 00:00:00.511060
ScoringDeck,0 days 00:00:00.470234
ScoringDeck,0 days 00:00:00.568507
ScoringDeck,0 days 00:00:00.524572
ScoringDeck,0 days 00:00:00.521383
ScoringDeck,0 days 00:00:00.557002
ScoringDeck,0 days 00:00:00.489774
ScoringDeck,0 days 00:00:00.479719
ScoringDeck,0 days 00:00:00.503254
ScoringDeck,0 days 00:00:00.467491
ScoringDeck,0 days 00:00:00.474339
ScoringDeck,0 days 00:00:00.552124
ScoringDeck,0 days 00:00:00.506083
ScoringDeck,0 days 00:00:00.491247
ScoringDeck,0 days 00:00:00.501266
ScoringDeck,0 days 00:00:00.524714
ScoringDeck,0 days 00:00:00.495573
ScoringDeck,0 days 00:00:00.462362
ScoringDeck,0 days 00:00:00.442895
ScoringDeck,0 days 00:00:00.434398
ScoringDeck,0 days 00:00:00.558237
ScoringDeck,0 days 00:00:00.598473
ScoringDeck,0 days 00:00:00.541151
ScoringDeck,0 days 00:00:00.506793
ScoringDeck,0 days 00:00:00.563385
ScoringDeck,0 days 00:00:00.617661
ScoringDeck,0 days 00:00:00.743563
ScoringDeck,0 days 00:00:00.625422
ScoringDeck,0 days 00:00:00.604961
ScoringDeck,0 days 00:00:00.513972
ScoringDeck,0 days 00:00:00.596566
ScoringDeck,0 days 00:00:00.533478
ScoringDeck,0 days 00:00:00.597986
ScoringDeck,0 days 00:00:00.569739
ScoringDeck,0 days 00:00:00.579670
ScoringDeck,0 days 00:00:00.517981
ScoringDeck,0 days 00:00:00.522643
ScoringDeck,0 days 00:00:00.543399
ScoringDeck,0 days 00:00:00.672502
ScoringDeck,0 days 00:00:00.574712
ScoringDeck,0 days 00:00:00.542075
ScoringDeck,0 days 00:00:00.605748
ScoringDeck,0 days 00:00:00.608132
ScoringDeck,0 days 00:00:00.616289
ScoringDeck,0 days 00:00:00.581434
ScoringDeck,0 days 00:00:00.620335
ScoringDeck,0 days 00:00:00.517264
ScoringDeck,0 days 00:00:00.602636
ScoringDeck,0 days 00:00:00.616196
ScoringDeck,0 days 00:00:00.673105
ScoringDeck,0 days 00:00:00.659488
ScoringDeck,0 days 00:00:00.707701
ScoringDeck,0 days 00:00:00.703428
ScoringDeck,0 days 00:00:01.240964
ScoringDeck,0 days 00:00:01.150626
ScoringDeck,0 days 00:00:01.226787
ScoringDeck,0 days 00:00:01.183810
ScoringDeck,0 days 00:00:01.124718
ScoringDeck,0 days 00:00:01.152035
ScoringDeck,0 days 00:00:01.121295
ScoringDeck,0 days 00:00:01.157080
ScoringDeck,0 days 00:00:01.046926
ScoringDeck,0 days 00:00:01.130480
ScoringDeck,0 days 00:00:01.140733
ScoringDeck,0 days 00:00:01.105532
ScoringDeck,0 days 00:00:01.142850
ScoringDeck,0 days 00:00:01.046015
ScoringDeck,0 days 00:00:01.001019
ScoringDeck,0 days 00:00:01.046141
ScoringDeck,0 days 00:00:01.065619
ScoringDeck,0 days 00:00:01.089657
ScoringDeck,0 days 00:00:01.055128
ScoringDeck,0 days 00:00:01.077608
ScoringDeck,0 days 00:00:00.540618
ScoringDeck,0 days 00:00:00.570420
ScoringDeck,0 days 00:00:00.552242
ScoringDeck,0 days 00:00:00.566481
ScoringDeck,0 days 00:00:00.535992
ScoringDeck,0 days 00:00:00.525087
ScoringDeck,0 days 00:00:00.566611
ScoringDeck,0 days 00:00:00.569114
ScoringDeck,0 days 00:00:00.524772
ScoringDeck,0 days 00:00:00.612330
ScoringDeck,0 days 00:00:00.592727
ScoringDeck,0 days 00:00:00.651635
ScoringDeck,0 days 00:00:00.480619
ScoringDeck,0 days 00:00:00.591242
ScoringDeck,0 days 00:00:00.692091
ScoringDeck,0 days 00:00:00.695755
ScoringDeck,0 days 00:00:00.639760
ScoringDeck,0 days 00:00:00.529238
ScoringDeck,0 days 00:00:00.569942
ScoringDeck,0 days 00:00:00.538121
ScoringDeck,0 days 00:00:00.537934
ScoringDeck,0 days 00:00:00.536909
ScoringDeck,0 days 00:00:00.522142
ScoringDeck,0 days 00:00:00.457281
ScoringDeck,0 days 00:00:00.607713
ScoringDeck,0 days 00:00:00.589555
ScoringDeck,0 days 00:00:00.717141
ScoringDeck,0 days 00:00:00.664838
ScoringDeck,0 days 00:00:00.701912
ScoringDeck,0 days 00:00:00.674202
ScoringDeck,0 days 00:00:00.578598
